Year,Africa,Asia,Europe,Latin America and the Caribbean,Northern America,Oceania
1980,3951,31025,39760,13081,9378,1942
1981,4363,34314,44802,15215,10030,1839
1982,3819,30214,42720,16769,9074,1675
1983,2671,24696,24638,15427,7100,1018
1984,2639,27274,22287,13678,6661,878
1985,2650,23850,20844,15171,6543,920
1986,3782,28739,24370,21179,7074,904
1987,7494,43203,46698,28471,7705,1200
1988,7552,47454,54726,21924,6469,1181
1989,9894,60256,60893,25060,6790,1539
1990,11012,72829,68301,27942,5895,2075
1991,14228,89964,57938,36827,6057,2495
1992,19242,90752,64123,37853,6846,2871
1993,16531,98737,62937,33840,7438,2566
1994,13072,88852,62531,21341,5902,1967
1995,14806,90424,55764,20262,4891,1565
1996,15700,103030,55642,18645,5516,1552
1997,14471,106383,48841,17174,4753,1263
1998,13791,90929,36719,13830,4437,1021
1999,15996,106844,35639,15088,5196,1055
2000,20346,134544,38215,16898,5433,1276
2001,24292,148083,42779,20067,5604,1818
2002,22710,137653,36798,19317,4948,1685
2003,23366,131769,34556,20263,5543,1800
2004,28192,134850,38082,22181,6990,1788
2005,27523,159253,35955,24747,8394,1585
2006,29188,149054,33053,24676,9613,1473
2007,28284,133459,33495,26011,9463,1693
2008,29890,139894,34692,26547,10190,1834
2009,34534,141434,35078,26867,8995,1860
2010,40892,163845,33425,28818,8142,1834
2011,35441,146894,26778,27856,7677,1548
2012,38083,152218,29177,27173,7892,1679
2013,38543,155075,28691,24950,8503,1775
